sampleid	animal_id	zt_time	sex	sex_name	diet_num	diet_group	week_name	week_num	group	diet
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical
22x3x4	22	4	F	Female	3	LHF	Week 13	1	elf	lf_hf
22x3x8	22	8	F	Female	3	LHF	Week 13	1	elf	lf_hf
22x3x12	22	12	F	Female	3	LHF	Week 13	1	elf	lf_hf
22x3x16	22	16	F	Female	3	LHF	Week 13	1	elf	lf_hf
22x3x20	22	20	F	Female	3	LHF	Week 13	1	elf	lf_hf
23x3x0	23	0	M	Male	3	LHF	Week 13	1	elf	lf_hf
23x3x8	23	8	M	Male	3	LHF	Week 13	1	elf	lf_hf
23x3x12	23	12	M	Male	3	LHF	Week 13	1	elf	lf_hf
23x3x16	23	16	M	Male	3	LHF	Week 13	1	elf	lf_hf
23x3x20	23	20	M	Male	3	LHF	Week 13	1	elf	lf_hf
24x3x0	24	0	F	Female	3	LHF	Week 13	1	elf	lf_hf
24x3x4	24	4	F	Female	3	LHF	Week 13	1	elf	lf_hf
24x3x8	24	8	F	Female	3	LHF	Week 13	1	elf	lf_hf
24x3x12	24	12	F	Female	3	LHF	Week 13	1	elf	lf_hf
24x3x16	24	16	F	Female	3	LHF	Week 13	1	elf	lf_hf
24x3x20	24	20	F	Female	3	LHF	Week 13	1	elf	lf_hf
25x3x0	25	0	F	Female	4	EHF	Week 13	1	ehf	hf_lf
25x3x4	25	4	F	Female	4	EHF	Week 13	1	ehf	hf_lf
25x3x8	25	8	F	Female	4	EHF	Week 13	1	ehf	hf_lf
25x3x12	25	12	F	Female	4	EHF	Week 13	1	ehf	hf_lf
25x3x16	25	16	F	Female	4	EHF	Week 13	1	ehf	hf_lf
25x3x20	25	20	F	Female	4	EHF	Week 13	1	ehf	hf_lf
26x3x0	26	0	M	Male	4	EHF	Week 13	1	ehf	hf_lf
26x3x4	26	4	M	Male	4	EHF	Week 13	1	ehf	hf_lf
26x3x8	26	8	M	Male	4	EHF	Week 13	1	ehf	hf_lf
26x3x12	26	12	M	Male	4	EHF	Week 13	1	ehf	hf_lf
26x3x16	26	16	M	Male	4	EHF	Week 13	1	ehf	hf_lf
26x3x20	26	20	M	Male	4	EHF	Week 13	1	ehf	hf_lf
27x3x0	27	0	F	Female	4	EHF	Week 13	1	ehf	hf_lf
27x3x4	27	4	F	Female	4	EHF	Week 13	1	ehf	hf_lf
27x3x8	27	8	F	Female	4	EHF	Week 13	1	ehf	hf_lf
27x3x12	27	12	F	Female	4	EHF	Week 13	1	ehf	hf_lf
27x3x16	27	16	F	Female	4	EHF	Week 13	1	ehf	hf_lf
27x3x20	27	20	F	Female	4	EHF	Week 13	1	ehf	hf_lf
28x3x0	28	0	M	Male	4	EHF	Week 13	1	ehf	hf_lf
28x3x4	28	4	M	Male	4	EHF	Week 13	1	ehf	hf_lf
28x3x8	28	8	M	Male	4	EHF	Week 13	1	ehf	hf_lf
28x3x12	28	12	M	Male	4	EHF	Week 13	1	ehf	hf_lf
28x3x16	28	16	M	Male	4	EHF	Week 13	1	ehf	hf_lf
28x3x20	28	20	M	Male	4	EHF	Week 13	1	ehf	hf_lf
29x3x0	29	0	F	Female	4	EHF	Week 13	1	ehf	hf_lf
29x3x4	29	4	F	Female	4	EHF	Week 13	1	ehf	hf_lf
29x3x8	29	8	F	Female	4	EHF	Week 13	1	ehf	hf_lf
29x3x12	29	12	F	Female	4	EHF	Week 13	1	ehf	hf_lf
29x3x16	29	16	F	Female	4	EHF	Week 13	1	ehf	hf_lf
29x3x20	29	20	F	Female	4	EHF	Week 13	1	ehf	hf_lf
30x3x0	30	0	M	Male	4	EHF	Week 13	1	ehf	hf_lf
30x3x4	30	4	M	Male	4	EHF	Week 13	1	ehf	hf_lf
30x3x8	30	8	M	Male	4	EHF	Week 13	1	ehf	hf_lf
30x3x12	30	12	M	Male	4	EHF	Week 13	1	ehf	hf_lf
30x3x16	30	16	M	Male	4	EHF	Week 13	1	ehf	hf_lf
30x3x20	30	20	M	Male	4	EHF	Week 13	1	ehf	hf_lf
31x3x0	31	0	F	Female	4	EHF	Week 13	1	ehf	hf_lf
31x3x4	31	4	F	Female	4	EHF	Week 13	1	ehf	hf_lf
31x3x8	31	8	F	Female	4	EHF	Week 13	1	ehf	hf_lf
31x3x12	31	12	F	Female	4	EHF	Week 13	1	ehf	hf_lf
31x3x16	31	16	F	Female	4	EHF	Week 13	1	ehf	hf_lf
31x3x20	31	20	F	Female	4	EHF	Week 13	1	ehf	hf_lf
32x3x0	32	0	M	Male	4	EHF	Week 13	1	ehf	hf_lf
32x3x4	32	4	M	Male	4	EHF	Week 13	1	ehf	hf_lf
32x3x8	32	8	M	Male	4	EHF	Week 13	1	ehf	hf_lf
32x3x12	32	12	M	Male	4	EHF	Week 13	1	ehf	hf_lf
32x3x16	32	16	M	Male	4	EHF	Week 13	1	ehf	hf_lf
32x3x20	32	20	M	Male	4	EHF	Week 13	1	ehf	hf_lf
