sample-id	absolute-filepath
11x3x12	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/11.3.10F.fastq.gz
11x3x16	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/11.3.14F.fastq.gz
11x3x20	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/11.3.18F.fastq.gz
11x3x0	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/11.3.22F.fastq.gz
12x3x4	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/12.3.2F.fastq.gz
12x3x8	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/12.3.6F.fastq.gz
12x3x12	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/12.3.10F.fastq.gz
12x3x16	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/12.3.14F.fastq.gz
12x3x20	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/12.3.18F.fastq.gz
12x3x0	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/12.3.22F.fastq.gz
13x1x4	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/13.1.2F.fastq.gz
13x1x8	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/13.1.6F.fastq.gz
13x3x4	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/13.3.2F.fastq.gz
13x3x8	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/13.3.6F.fastq.gz
13x3x12	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/13.3.10F.fastq.gz
13x3x16	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/13.3.14F.fastq.gz
13x3x20	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/13.3.18F.fastq.gz
13x3x0	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/13.3.22F.fastq.gz
13x1x12	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/13x1x10F.fastq.gz
13x1x16	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/13x1x14F.fastq.gz
13x1x20	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/13x1x18F.fastq.gz
13x1x0	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/13x1x22F.fastq.gz
14x1x4	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/14.1.2F.fastq.gz
14x1x8	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/14.1.6F.fastq.gz
14x3x4	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/14.3.2F.fastq.gz
14x3x8	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/14.3.6F.fastq.gz
14x3x12	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/14.3.10F.fastq.gz
14x3x16	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/14.3.14F.fastq.gz
14x3x20	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/14.3.18F.fastq.gz
14x3x0	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/14.3.22F.fastq.gz
